stimulus,rt,response,accuracy
437,1,99,0
fixation,0.500112400004582,99,0
601,1,99,0
fixation,0.500111400004243,99,0
609,1,99,0
fixation,0.500105199993413,99,0
601,1,99,0
fixation,0.500117900002806,99,0
605,1,99,0
fixation,0.500068100001954,99,0
605,1,99,0
fixation,0.500109799999336,99,0
561,1,99,0
fixation,0.500047399997129,99,0
549,1,99,0
fixation,0.500101199999335,99,0
606,1,99,0
fixation,0.50012009999773,99,0
609,1,99,0
fixation,0.500033000003896,99,0
609,1,99,0
fixation,0.500076000003901,99,0
285,1,99,0
fixation,0.82644099999743,99,0
600,0.673706100002164,1,0
fixation,0.692237399998703,99,0
600,0.807909000002837,1,0
fixation,0.500078500001109,99,0
604,1,99,0
fixation,0.50003039999865,99,0
607,1,99,0
fixation,0.500027699999919,99,0
602,1,99,0
fixation,0.500124900005176,99,0
605,1,99,0
fixation,0.500123600002553,99,0
604,1,99,0
fixation,0.643031300001894,99,0
600,0.857119000000239,1,0
fixation,0.500037999998312,99,0
151,1,99,0
fixation,0.500107499996375,99,0
606,1,99,0
fixation,0.82535800000187,99,0
600,0.674792300000263,1,0
fixation,0.500084999999672,99,0
600,1,99,0
fixation,0.50005229999806,99,0
600,1,99,0
fixation,0.829697300003318,99,0
600,0.670453899998392,1,0
fixation,0.839899099999457,99,0
600,0.660247299994808,1,0
fixation,0.50010370000382,99,0
603,1,99,0
fixation,0.500022899999749,99,0
607,1,99,0
fixation,0.500058999998146,99,0
603,1,99,0
fixation,0.500130200001877,99,0
265,1,99,0
fixation,0.500078400000348,99,0
609,1,99,0
fixation,0.500089499997557,99,0
605,1,99,0
